total_timesteps,explained_variance,nupdates,policy_entropy,value_loss,fps,ep_len_mean,ep_reward_mean
20,0.7016677558422089,1,2.079427719116211,0.009737961925566196,18,,
2000,0.9746894221752882,100,2.0792202949523926,0.005320093594491482,874,,
4000,0.5601844787597656,200,2.079317808151245,0.08633632212877274,1234,618.2,-4.8
6000,0.7241577506065369,300,2.0793609619140625,0.04189940169453621,1417,567.75,-4.875
8000,0.5724570453166962,400,2.0789895057678223,0.25972679257392883,1536,566.75,-4.916666666666667
10000,0.21996545791625977,500,2.0784223079681396,0.010221448726952076,1595,554.6875,-4.9375
12000,0.9509938061237335,600,2.0761914253234863,0.00832212995737791,1645,563.8421052631579,-4.947368421052632
14000,0.8640244603157043,700,2.063784122467041,0.01042364165186882,1698,561.1818181818181,-4.909090909090909
16000,0.33686161041259766,800,2.026244640350342,0.26502367854118347,1741,572.1923076923077,-4.884615384615385
18000,0.9225847125053406,900,1.9884179830551147,0.005915801506489515,1773,584.8620689655172,-4.827586206896552
20000,0.9718571081757545,1000,1.993687391281128,0.0021879044361412525,1802,585.3225806451613,-4.838709677419355
22000,0.9190978333353996,1100,1.9998900890350342,0.012976808473467827,1822,594.1428571428571,-4.857142857142857
24000,0.8140058666467667,1200,1.86884343624115,0.00853421539068222,1845,592.4102564102565,-4.846153846153846
26000,-0.5994210243225098,1300,1.9426151514053345,0.03817058354616165,1858,581.5581395348837,-4.8604651162790695
28000,0.9614202380180359,1400,1.9879974126815796,0.002970477333292365,1874,577.5434782608696,-4.826086956521739
30000,0.9743381347507238,1500,1.9762389659881592,0.005803984589874744,1886,582.02,-4.82
32000,0.6235179007053375,1600,2.0007598400115967,0.0035261674784123898,1898,587.9245283018868,-4.7924528301886795
34000,0.9969460610300303,1700,1.969718337059021,0.0004326046910136938,1908,587.6,-4.8
36000,0.925878994166851,1800,1.945971131324768,0.0026699129957705736,1917,588.3103448275862,-4.793103448275862
38000,0.7923070341348648,1900,2.0202436447143555,0.014554006047546864,1923,596.8064516129032,-4.758064516129032
40000,0.970390098169446,2000,1.9737932682037354,0.0028531586285680532,1931,598.5692307692308,-4.753846153846154
42000,-1.194411039352417,2100,2.0217056274414062,0.05877765268087387,1937,601.179104477612,-4.746268656716418
44000,0.10424405336380005,2200,2.0360190868377686,0.017500191926956177,1945,601.4225352112676,-4.76056338028169
46000,0.9813994895666838,2300,1.7147384881973267,0.0075476644560694695,1951,599.6891891891892,-4.77027027027027
48000,0.9967454504221678,2400,1.946702241897583,0.0005418788641691208,1958,608.6666666666666,-4.782051282051282
50000,0.5872254371643066,2500,2.002155065536499,0.20904597640037537,1963,607.975,-4.7875
52000,-0.994231104850769,2600,1.9846817255020142,0.06845404952764511,1968,607.6904761904761,-4.7976190476190474
54000,0.9420646764338017,2700,2.0345101356506348,0.003247325774282217,1972,605.453488372093,-4.8023255813953485
