total_timesteps,explained_variance,nupdates,policy_entropy,value_loss,fps,ep_len_mean,ep_reward_mean
210000,0.9978186117950827,10500,1.9398155212402344,0.00017032961477525532,1822,627.03,-4.79
212000,0.10190695524215698,10600,1.9739139080047607,0.0072458721697330475,1822,622.24,-4.79
214000,0.9869959559291601,10700,1.9988304376602173,0.0010260684648528695,1824,625.79,-4.76
216000,0.9892177060246468,10800,1.889203667640686,0.001967010786756873,1825,626.51,-4.76
218000,0.9926540716551244,10900,2.038536548614502,0.0008368127164430916,1826,630.65,-4.74
220000,0.9930920861661434,11000,1.4769432544708252,0.0006387548055499792,1824,631.91,-4.73
222000,0.9944038703106344,11100,1.8888778686523438,0.000489873462356627,1822,634.16,-4.72
224000,0.9928191900253296,11200,1.7821861505508423,0.0008970185881480575,1822,633.09,-4.75
226000,-0.1000281572341919,11300,1.9591314792633057,0.20536091923713684,1820,631.72,-4.75
228000,0.94899807497859,11400,2.0494213104248047,0.0012255787150934339,1821,625.33,-4.75
230000,0.5958058536052704,11500,2.0154993534088135,0.025403281673789024,1822,621.56,-4.75
232000,0.9968063512351364,11600,1.796026587486267,0.00029513105982914567,1820,618.48,-4.76
234000,0.9791214987635612,11700,1.9182827472686768,0.00334399682469666,1820,618.95,-4.75
236000,0.9987658308818936,11800,1.5275195837020874,0.0003040158480871469,1820,617.25,-4.76
238000,0.9993235742440447,11900,1.8072630167007446,0.00016684918955434114,1818,617.19,-4.76
240000,0.9891142351552844,12000,1.9319298267364502,0.000501407019328326,1815,622.88,-4.77
242000,0.997706362279132,12100,1.641626000404358,0.00018384084978606552,1815,625.23,-4.77
244000,0.9975767484866083,12200,1.8291139602661133,0.00023003274691291153,1815,627.62,-4.77
246000,0.9888333706185222,12300,1.906975507736206,0.0012183639919385314,1815,629.11,-4.8
248000,0.742369145154953,12400,1.6916812658309937,0.01616431400179863,1812,623.06,-4.79
250000,0.9444964565336704,12500,1.9012479782104492,0.001258299918845296,1812,623.97,-4.79
