entropy,surrgain,EpThisIter,TimestepsSoFar,EpLenMean,EpRewMean,optimgain,EpisodesSoFar,TimeElapsed,explained_variance_tdlam_before,entloss,meankl
0.356808,0.039930776,0,10411008,3000.0,-0.075,0.039930776,4398,9359.430341720581,0.241940438747406,0.0,0.010314332
0.34031832,0.025291797,0,10412032,3000.0,-0.075,0.025291797,4398,9360.311741828918,0.5506280958652496,0.0,0.004765677
0.38988844,0.06241709,1,10413056,3000.0,-0.125,0.06241709,4399,9361.196492910385,-1.9830517768859863,0.0,0.006713693
0.30107677,0.01977507,0,10414080,3000.0,-0.125,0.01977507,4399,9362.073278427124,-0.4055473804473877,0.0,0.005697123
0.3436524,0.014965177,0,10415104,3000.0,-0.125,0.014965177,4399,9362.986358165741,0.6129253804683685,0.0,0.0046820743
0.33823544,0.012398837,1,10416128,3000.0,-0.075,0.012398837,4400,9363.922226190567,0.7133107483386993,0.0,0.0048434413
0.36481655,0.011847945,0,10417152,3000.0,-0.075,0.011847945,4400,9364.79648566246,0.48145580291748047,0.0,0.0077718906
0.38476872,0.048645157,0,10418176,3000.0,-0.075,0.048645157,4400,9365.669844150543,-0.02559375762939453,0.0,0.014932539
0.4177449,0.018489033,1,10419200,3000.0,-0.1,0.018489033,4401,9366.566727876663,-0.2712898254394531,0.0,0.007406565
0.3966607,0.0153371,0,10420224,3000.0,-0.1,0.0153371,4401,9367.454453706741,-0.5360822677612305,0.0,0.010900939
0.3714456,0.025627024,0,10421248,3000.0,-0.1,0.025627024,4401,9368.357384443283,-0.230627179145813,0.0,0.010361902
0.4002855,0.022826094,1,10422272,3000.0,-0.075,0.022826094,4402,9369.280206680298,-3.506253719329834,0.0,0.0062348247
0.37733576,0.024163404,0,10423296,3000.0,-0.075,0.024163404,4402,9370.172358512878,-2.661024332046509,0.0,0.0055902586
0.3666615,0.025454625,1,10424320,3000.0,-0.15,0.025454625,4403,9371.059421539307,-1.9724369049072266,0.0,0.009202242
0.3942364,0.03619885,0,10425344,3000.0,-0.15,0.03619885,4403,9371.870542287827,-2.1260178089141846,0.0,0.0069632116
0.37403756,0.013071249,0,10426368,3000.0,-0.15,0.013071249,4403,9372.775632858276,0.6346829831600189,0.0,0.0057199216
0.35873258,0.017601185,1,10427392,3000.0,-0.1,0.017601185,4404,9373.652459144592,-3.8836183547973633,0.0,0.0040702764
0.31574833,0.0128340125,0,10428416,3000.0,-0.1,0.0128340125,4404,9374.48608970642,-0.3458423614501953,0.0,0.012096735
0.34827286,0.018068932,0,10429440,3000.0,-0.1,0.018068932,4404,9375.36569237709,0.19100898504257202,0.0,0.0042316937
